20201124_07:03:-45.712,-0.307328,-0.370720,0.838188,-0.301799,-0.355921,1.013090,-0.297731,-0.346698,1.153123,-0.300070,-0.350215,1.366789,-0.332722,-0.346448,1.331469,-0.459868,-0.325783,1.274831,-0.544736,-0.366711,1.019653,-0.556910,-0.291439,0.804455,-0.564769,-0.263406,0.714251,-0.543461,-0.296641,0.615485,-0.499068,-0.297238,0.672107,-0.267014,-0.354856,1.331462,-0.145365,-0.365329,1.288454,-0.086470,-0.408581,1.021095,-0.071897,-0.342440,0.800040,-0.113075,-0.335285,0.706932,-0.150573,-0.357630,0.611932,-0.128119,-0.307608,0.697985,-0.396239,-0.358569,0.839971,-0.419394,-0.377027,0.447014,-0.442293,-0.442111,0.076778,-0.433337,-0.274293,0.000861,-0.227153,-0.381676,0.836580,-0.241225,-0.376519,0.443219,-0.279951,-0.461891,0.074374,-0.247127,-0.313757,-0.001555,-0.299262,-0.338431,1.446325,-0.243906,-0.198769,1.495815,-0.274345,-0.227769,1.531425,-0.364940,-0.313033,1.521694,-0.225545,-0.239580,1.520123,-0.212404,-0.365691,1.496525,
20201124_07:03:-45.756,-0.308931,-0.377264,0.837818,-0.302886,-0.360086,1.012463,-0.298276,-0.347971,1.152242,-0.300266,-0.348280,1.365914,-0.332959,-0.344918,1.330600,-0.460118,-0.325149,1.273714,-0.546475,-0.368440,1.019462,-0.557636,-0.293936,0.803971,-0.563323,-0.263109,0.714531,-0.545951,-0.296676,0.615124,-0.500612,-0.303510,0.671441,-0.267292,-0.353575,1.330611,-0.145813,-0.366026,1.287696,-0.087474,-0.409758,1.020328,-0.074216,-0.335296,0.801882,-0.113488,-0.335615,0.707696,-0.151982,-0.359501,0.613487,-0.128504,-0.309567,0.696898,-0.397794,-0.364852,0.839673,-0.421200,-0.384373,0.446830,-0.444471,-0.448174,0.076441,-0.435406,-0.279934,0.001534,-0.228800,-0.388457,0.836145,-0.242809,-0.383518,0.442827,-0.281727,-0.469811,0.074264,-0.248573,-0.321287,-0.000705,-0.299280,-0.335311,1.445254,-0.245095,-0.195486,1.495515,-0.274563,-0.225317,1.531245,-0.364101,-0.311713,1.521921,-0.225794,-0.236311,1.519049,-0.211285,-0.361928,1.493765,
20201124_07:03:-45.800,-0.309721,-0.380476,0.837629,-0.303413,-0.362028,1.012116,-0.298501,-0.348220,1.151711,-0.300346,-0.346720,1.365356,-0.333054,-0.343593,1.330040,-0.460206,-0.324425,1.272974,-0.547398,-0.369011,1.019264,-0.557825,-0.294812,0.803659,-0.561716,-0.262320,0.714725,-0.546757,-0.296274,0.615069,-0.501419,-0.307169,0.671080,-0.267411,-0.352377,1.330081,-0.146032,-0.366024,1.287290,-0.087863,-0.409688,1.019906,-0.075190,-0.329450,0.803508,-0.113777,-0.334963,0.709212,-0.153217,-0.359983,0.615704,-0.128870,-0.310077,0.697351,-0.398555,-0.367941,0.839515,-0.421951,-0.387473,0.446717,-0.445263,-0.449767,0.076116,-0.436243,-0.281109,0.002199,-0.229615,-0.391778,0.835928,-0.243445,-0.386300,0.442655,-0.282298,-0.472597,0.074130,-0.249050,-0.323655,0.000078,-0.299281,-0.333085,1.444574,-0.245834,-0.193204,1.495410,-0.274674,-0.223576,1.531187,-0.363528,-0.310677,1.522061,-0.225941,-0.234037,1.518418,-0.210583,-0.359302,1.491984,
20201124_07:03:-45.800,-0.309969,-0.381474,0.837570,-0.303572,-0.362715,1.012003,-0.298526,-0.348206,1.151508,-0.300370,-0.346158,1.365126,-0.333071,-0.343092,1.329806,-0.460198,-0.324201,1.272627,-0.547805,-0.368900,1.019110,-0.557655,-0.294257,0.803655,-0.560186,-0.260503,0.715153,-0.546740,-0.294367,0.615263,-0.501633,-0.308108,0.671059,-0.267443,-0.351935,1.329870,-0.146112,-0.366198,1.287182,-0.087897,-0.408973,1.019695,-0.075462,-0.324242,0.805027,-0.113839,-0.333024,0.710905,-0.154036,-0.358561,0.617872,-0.129046,-0.308899,0.698496,-0.398788,-0.368898,0.839475,-0.421991,-0.387240,0.446649,-0.445134,-0.447396,0.075724,-0.436178,-0.278242,0.002992,-0.229878,-0.392814,0.835853,-0.243419,-0.385771,0.442634,-0.282034,-0.470950,0.073865,-0.248750,-0.321500,0.000900,-0.299293,-0.332322,1.444301,-0.246386,-0.192556,1.495959,-0.274808,-0.223398,1.531659,-0.363174,-0.310959,1.522370,-0.226098,-0.233450,1.518497,-0.210144,-0.358380,1.490924,
20201124_07:03:-45.844,-0.309957,-0.381409,0.837574,-0.303565,-0.362685,1.011995,-0.298481,-0.347904,1.151456,-0.300398,-0.345789,1.365054,-0.333083,-0.342724,1.329724,-0.460177,-0.323978,1.272456,-0.547953,-0.368425,1.018979,-0.557362,-0.293194,0.803731,-0.558909,-0.258533,0.715567,-0.546411,-0.292179,0.615491,-0.501565,-0.307869,0.671132,-0.267464,-0.351585,1.329814,-0.146150,-0.366161,1.287220,-0.087790,-0.407950,1.019634,-0.075432,-0.319941,0.806308,-0.113760,-0.330810,0.712394,-0.154499,-0.356586,0.619674,-0.129074,-0.307184,0.699688,-0.398768,-0.368837,0.839479,-0.421702,-0.385844,0.446613,-0.444585,-0.444061,0.075398,-0.435699,-0.274481,0.003700,-0.229872,-0.392746,0.835857,-0.243092,-0.384115,0.442695,-0.281397,-0.468042,0.073642,-0.248113,-0.318151,0.001628,-0.299344,-0.331929,1.444217,-0.246846,-0.192306,1.496629,-0.274990,-0.223515,1.532222,-0.363001,-0.311388,1.522676,-0.226294,-0.233262,1.518800,-0.209907,-0.357916,1.490303,
20201124_07:03:-45.861,-0.309870,-0.381072,0.837574,-0.303512,-0.362495,1.011996,-0.298424,-0.347613,1.151435,-0.300417,-0.345556,1.365015,-0.333086,-0.342478,1.329678,-0.460149,-0.323816,1.272342,-0.547993,-0.367985,1.018864,-0.557084,-0.292273,0.803792,-0.557948,-0.257011,0.715865,-0.546032,-0.290691,0.615738,-0.501464,-0.307505,0.671188,-0.267473,-0.351345,1.329789,-0.146168,-0.366109,1.287266,-0.087676,-0.407171,1.019621,-0.075315,-0.316975,0.807231,-0.113612,-0.329300,0.713493,-0.154654,-0.355408,0.621010,-0.128989,-0.306047,0.700572,-0.398676,-0.368517,0.839474,-0.421364,-0.384361,0.446577,-0.444005,-0.441027,0.075138,-0.435166,-0.271124,0.004240,-0.229790,-0.392394,0.835860,-0.242744,-0.382452,0.442753,-0.280779,-0.465313,0.073464,-0.247494,-0.315089,0.002179,-0.299390,-0.331719,1.444176,-0.247138,-0.192206,1.497087,-0.275113,-0.223646,1.532603,-0.362909,-0.311699,1.522870,-0.226428,-0.233204,1.519024,-0.209783,-0.357675,1.489929,
20201124_07:03:-45.904,-0.310435,-0.388398,0.837761,-0.303979,-0.368640,1.012125,-0.298740,-0.352273,1.151451,-0.301274,-0.347967,1.365082,-0.333884,-0.345418,1.329620,-0.460981,-0.327303,1.272039,-0.547037,-0.369617,1.017510,-0.554836,-0.292687,0.802717,-0.558430,-0.264751,0.712222,-0.548554,-0.305185,0.614351,-0.502485,-0.315580,0.669798,-0.268202,-0.353974,1.329984,-0.146580,-0.367594,1.287823,-0.088473,-0.410638,1.020283,-0.076852,-0.323965,0.806284,-0.114917,-0.334555,0.712194,-0.154801,-0.364085,0.620186,-0.129734,-0.311943,0.699782,-0.399283,-0.375865,0.839630,-0.421919,-0.390768,0.446527,-0.444940,-0.445382,0.074643,-0.434798,-0.275123,0.004575,-0.230317,-0.399700,0.836075,-0.244065,-0.392356,0.442772,-0.280216,-0.469681,0.071931,-0.246869,-0.318589,0.002361,-0.300510,-0.333284,1.444128,-0.249191,-0.192471,1.494653,-0.279689,-0.222127,1.529660,-0.368194,-0.309328,1.518170,-0.230434,-0.232874,1.519330,-0.214097,-0.358656,1.496038,
20201124_07:03:-45.952,-0.310531,-0.393877,0.837052,-0.303812,-0.370512,1.011021,-0.298441,-0.351834,1.150102,-0.300379,-0.345175,1.363753,-0.333095,-0.342977,1.328342,-0.460744,-0.325509,1.271669,-0.546293,-0.367194,1.016765,-0.554397,-0.294972,0.800271,-0.555665,-0.270279,0.708742,-0.554783,-0.302463,0.607339,-0.503028,-0.327371,0.668450,-0.267400,-0.351608,1.328619,-0.145385,-0.365174,1.287448,-0.087476,-0.410543,1.020150,-0.077429,-0.329789,0.803684,-0.115118,-0.339690,0.709330,-0.155645,-0.371759,0.618416,-0.129391,-0.315822,0.697596,-0.399415,-0.381363,0.838804,-0.422124,-0.397565,0.445620,-0.445146,-0.453143,0.073746,-0.434575,-0.283005,0.003284,-0.230379,-0.405162,0.835473,-0.245432,-0.402654,0.442020,-0.280048,-0.477182,0.070324,-0.246399,-0.325736,0.001530,-0.299378,-0.329619,1.442657,-0.250083,-0.187408,1.491424,-0.279777,-0.217260,1.526981,-0.366873,-0.306120,1.517067,-0.230413,-0.227255,1.516332,-0.212077,-0.352997,1.494087,
20201124_07:03:-45.992,-0.310523,-0.395922,0.836692,-0.303685,-0.370886,1.010479,-0.298271,-0.351255,1.149471,-0.299885,-0.343926,1.363170,-0.332662,-0.341807,1.327790,-0.460661,-0.324501,1.271752,-0.545685,-0.364752,1.016351,-0.553910,-0.294786,0.799047,-0.553818,-0.272296,0.706911,-0.557239,-0.297912,0.603672,-0.503652,-0.333489,0.668203,-0.266953,-0.350502,1.327996,-0.144659,-0.363867,1.287467,-0.086894,-0.409733,1.020132,-0.077787,-0.332084,0.802413,-0.115060,-0.341391,0.707798,-0.156164,-0.374945,0.617646,-0.128867,-0.316577,0.696524,-0.399439,-0.383414,0.838388,-0.422080,-0.398824,0.445043,-0.444999,-0.453480,0.072907,-0.434095,-0.283113,0.002896,-0.230345,-0.407200,0.835161,-0.246170,-0.406262,0.441608,-0.279763,-0.477331,0.069020,-0.245880,-0.325355,0.001386,-0.298751,-0.328120,1.442049,-0.250803,-0.185206,1.490263,-0.279974,-0.215325,1.526053,-0.366132,-0.305220,1.516793,-0.230542,-0.224784,1.515157,-0.210888,-0.350397,1.493075,
20201124_07:03:-46.036,-0.311529,-0.399814,0.836323,-0.303804,-0.372470,1.009828,-0.297863,-0.352364,1.148812,-0.300008,-0.341876,1.362498,-0.332706,-0.340173,1.326985,-0.460882,-0.323877,1.270844,-0.545790,-0.366390,1.015604,-0.554014,-0.296747,0.798057,-0.554164,-0.277621,0.705109,-0.549325,-0.299622,0.601033,-0.507839,-0.335166,0.667276,-0.266988,-0.349078,1.327493,-0.144917,-0.363841,1.286537,-0.087054,-0.409067,1.018949,-0.078199,-0.334012,0.800171,-0.115342,-0.343883,0.705499,-0.155051,-0.379845,0.615580,-0.129137,-0.324266,0.694511,-0.400530,-0.387600,0.838361,-0.423651,-0.402375,0.444792,-0.447286,-0.456457,0.072397,-0.436755,-0.285691,0.003025,-0.231273,-0.410829,0.834486,-0.248554,-0.411608,0.440766,-0.282322,-0.479299,0.067342,-0.248125,-0.326618,0.001224,-0.299028,-0.324904,1.441184,-0.245035,-0.183735,1.488441,-0.281553,-0.208945,1.521206,-0.373666,-0.291636,1.504319,-0.232161,-0.223256,1.517970,-0.221438,-0.351307,1.505333,
